港澳台,#genre#

翡翠台,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
翡翠台,http://116.199.24.6:2901/udp/224.1.100.122:11111
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn#https://cdn.hksec.eu.org/live/tvb_jade.m3u8?
翡翠台,http://cdn8.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://zsntlqj.xicp.net:8895/bysid/1.m3u8
翡翠台,http://113.83.152.61:1936/bysid/1.m3u8
翡翠台,http://gzcyl001.3322.org:8081/hls/30/index.m3u8
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1
翡翠台,https://stream.freetv.fun/fei-cui-6.ctv
翡翠台,https://stream.freetv.fun/tvb-huang-jin-fei-cui-1.ctv
翡翠台,https://stream.freetv.fun/tvb-huang-jin-fei-cui-2.ctv
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
翡翠台,https://v9-douyin-cloudflare-cdn.sv6-douyin-cloudfare.cloudns.ch/Smartv.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=Tvbjade
翡翠台,http://tv.greatstar.me:80/play/live.php?mac=00:1A:79:E5:D4:63&stream=153395&extension=ts&play_token=GSeS2kPBfo#http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:32:C6:2F&stream=153395&extension=ts&play_token=q7ZWhW5oIC
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://cwc.serv00.net/srttv.php?id=jade_twn
翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/99
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct4
翡翠台,https://epg.pw/stream/668e856e77007183b24d51ad4f1289a57781942d4ae10827bb79a92e49e58ea0.m3u8
翡翠台,https://douyincdn-6mirror-aliyuncs.52520.xyz/histar.php?key=fce50d20c5069eb773c70dc18d3b49e3&id=feicui
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
翡翠台,http://m.glx008.com:8000/bysid/1.m3u8
翡翠台,https://stream.freetv.fun/325a8f72cd0e2ed2e6e7d7989908f71d0859840dccc004d98524fd233391fee9.ctv
翡翠台,https://stream.freetv.fun/6a73a96c43beae5c85f0bad922a12a1fc672891891d5e8125d84fecf248436e0.ctv
翡翠台,https://stream.freetv.fun/eff0e65cf1d5f9cbab20efff8f4e1902f630de10c34b404f94ed544ad523639f.m3u8
翡翠台,https://stream.freetv.fun/14dd4824a739bea77e4552acc8014b7b5ee449afe6689c75cbc2293c34b51516.m3u8
翡翠台,https://stream.freetv.fun/2e6086d8521831aaee1fb341265cb51856e28e1c3990bf59e29c1f4f60523101.ctv
翡翠台,https://stream.freetv.fun/e7c91cb2e55ad311ec62f65f92cbcda22f1d1bb226ebab95a90275810fde18d7.m3u8
翡翠台,https://stream.freetv.fun/b71a736ffd51625990f2dc93ee75130c1f11e00ccf33ff26b467f6bdac65e43a.ctv
翡翠台,http://nz171l122.bb60246.ctm.net:8889/bysid/1.m3u8
TVB翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
